ID,revolutions,humidity,vibration,x1,x2,x3,x4,x5
1,20.993428306022462,52.528193539084,4.799863972371425,98.8643843156318,54.91861809570378,80.64367038004553,43.40474750531551,59.53427465353112
2,19.95908115733494,52.8950314168808,4.687139436518802,101.15074765563232,53.05435692691958,78.50909147661409,42.1718147046621,58.51215454157956
3,21.766538462373312,61.2541551918272,5.373046383858705,100.83147675370424,56.305129745169424,81.52632071254583,42.82700530044435,59.96012437620467
4,23.75265647346069,55.15912521861614,4.581468083536728,100.46470289294612,56.11279880733055,79.03467407915464,42.538345239802254,59.39383762174973
5,20.47355104349303,57.55582270968156,3.9171642364748056,102.36350982044688,53.98226135760746,81.78627969596691,43.43068041959409,61.0174591643211
6,20.708612522019312,52.8890879515566,4.792882268841774,99.30622280178798,56.05437848458091,79.81069569204267,43.54299582478857,59.0145415236701
7,24.570050330792498,52.97457745958544,5.165710821764411,99.60289515599229,55.552495171592525,76.9885444960377,43.88055725514591,60.54569226048216
8,23.180884124671497,58.61243710003963,5.771519176698337,100.85471031931895,53.06565416808063,78.53749167527263,43.33388102840994,59.266712403386464
9,20.94104973159466,51.37009594619894,4.067504874289009,99.72332413832476,53.70157092439049,79.71313967671647,43.15295752745069,59.64795633309533
10,23.19863856623567,54.22552008245611,5.517748370306336,102.144588430844,56.68523199034977,83.3819458360989,44.83036790438204,61.06174569965466
11,21.419681589978538,55.625574683754216,6.009793202886928,99.82694772691076,55.436733754554446,82.51940173228591,41.446445136027535,61.03602505860648
12,21.647476997050628,55.90993494183296,4.661114414839471,101.83051132233666,54.12040940928605,84.03632620226384,44.6602950044689,60.126466127518285
13,23.294644261917934,55.09085495088953,4.319917530224614,101.30191035363406,53.67285966981343,84.16729918014391,42.66816620234312,60.41583627568632
14,19.21524894103209,56.86790416522658,4.471090815400413,102.05622358150224,54.18064850518409,79.86188321886476,43.52160599880846,58.70738832884632
15,19.822312955922072,57.81131381438764,4.749013796447209,100.83074779962668,54.27964236999839,80.62569214899678,42.61720578545397,63.05967439296684
16,22.37710539935664,57.98895198002215,5.231841409052431,101.1956365568036,53.66949715403181,80.25130627788018,42.23190117264979,62.05431775261278
